violation_type,frame,track_id,leader_track_id,class_name,lane,d
Vehicle Stoppage,90,1,,person,Outer,0.20339441978579484
Vehicle Stoppage,91,1,,person,Outer,0.24277009700538021
Vehicle Stoppage,92,1,,person,Outer,0.2718245389952914
Vehicle Stoppage,93,1,,person,Outer,0.2376216320119089
Vehicle Stoppage,94,1,,person,Outer,0.23400940152053967
Vehicle Stoppage,95,1,,person,Outer,0.2524177885966042
Vehicle Stoppage,96,1,,person,Outer,0.24896363188224466
Vehicle Stoppage,97,1,,person,Outer,0.23522655037219353
Vehicle Stoppage,98,1,,person,Outer,0.2423579584003759
Vehicle Stoppage,99,1,,person,Outer,0.2673491350275858
Vehicle Stoppage,100,1,,person,Outer,0.23518650046292572
Vehicle Stoppage,101,1,,person,Outer,0.2613515831212836
Vehicle Stoppage,102,1,,person,Outer,0.22846953845097603
Vehicle Stoppage,103,1,,person,Outer,0.19767652870282942
Vehicle Stoppage,104,1,,person,Outer,0.19979622118548698
Vehicle Stoppage,105,1,,person,Outer,0.21238109614558134
Vehicle Stoppage,106,1,,person,Outer,0.2072708614349823
Vehicle Stoppage,107,1,,person,Outer,0.19520986143123248
Vehicle Stoppage,108,1,,person,Outer,0.17793897830436067
Vehicle Stoppage,109,1,,person,Outer,0.1934577214793948
Vehicle Stoppage,110,1,,person,Outer,0.18109290433366412
Vehicle Stoppage,111,1,,person,Outer,0.16306210473313915
Vehicle Stoppage,112,1,,person,Outer,0.13978243809577579
Vehicle Stoppage,113,1,,person,Outer,0.13505347089208586
Vehicle Stoppage,114,1,,person,Outer,0.1382668796205344
Vehicle Stoppage,115,1,,person,Outer,0.1304185569618083
Vehicle Stoppage,116,1,,person,Outer,0.12686307579434106
Vehicle Stoppage,117,1,,person,Outer,0.13187968001173941
Vehicle Stoppage,118,1,,person,Outer,0.06890413630544939
Vehicle Stoppage,119,1,,person,Outer,0.03637279202921095
Vehicle Stoppage,120,1,,person,Outer,0.07362200757925744
Vehicle Stoppage,121,1,,person,Outer,0.11049999999999718
Vehicle Stoppage,122,1,,person,Outer,0.07241892017974282
Vehicle Stoppage,123,1,,person,Outer,0.03992818553353087
Vehicle Stoppage,124,1,,person,Outer,0.10994562292333271
Vehicle Stoppage,125,1,,person,Outer,0.16181548133599338
Vehicle Stoppage,126,1,,person,Outer,0.19904243266197819
Vehicle Stoppage,127,1,,person,Outer,0.224130542318535
Vehicle Stoppage,128,1,,person,Outer,0.23747886221724554
Vehicle Stoppage,129,1,,person,Outer,0.2525377793519213
Vehicle Stoppage,130,1,,person,Outer,0.25364086815810977
Vehicle Stoppage,131,1,,person,Outer,0.2731113326099782
Vehicle Stoppage,132,1,,person,Outer,0.2877933286231632
Vehicle Stoppage,133,1,,person,Outer,0.30681207603352134
Vehicle Stoppage,134,1,,person,Outer,0.319894513863551
Vehicle Stoppage,135,1,,person,Outer,0.33421587335134056
Vehicle Stoppage,136,1,,person,Outer,0.3457813326366816
