track_id,class_name,entry_direction,exit_direction,violation_start_frame,violation_type,reason
216,car,NORTH,WEST,400,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
274,car,NORTH,WEST,557,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
292,car,NORTH,WEST,631,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
298,car,NORTH,WEST,648,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
626,car,NORTH,WEST,1466,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
631,person,NORTH,WEST,1484,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
856,motorcycle,NORTH,WEST,2110,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
939,car,NORTH,WEST,2336,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
957,car,NORTH,WEST,2385,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
970,motorcycle,NORTH,WEST,2431,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
1060,motorcycle,NORTH,WEST,2763,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
1068,motorcycle,NORTH,WEST,2785,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
1121,car,NORTH,WEST,2963,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
1141,motorcycle,NORTH,WEST,3046,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
1371,car,NORTH,WEST,3787,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
1414,car,NORTH,WEST,3715,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
1530,car,NORTH,WEST,4219,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
1682,person,NORTH,WEST,4647,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
1691,motorcycle,NORTH,WEST,4685,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
2139,motorcycle,NORTH,WEST,6228,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
2394,person,NORTH,WEST,7012,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
2399,motorcycle,NORTH,WEST,7036,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
2412,motorcycle,NORTH,WEST,7067,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
3044,person,NORTH,WEST,8908,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
