track_id,class_name,start_frame,violation_type
41,car,219,Wrong-Way
47,motorcycle,18,Wrong-Way
67,motorcycle,29,Wrong-Way
134,car,230,Wrong-Way
188,motorcycle,418,Wrong-Way
193,motorcycle,326,Wrong-Way
392,person,487,Wrong-Way
394,motorcycle,735,Wrong-Way
399,motorcycle,752,Wrong-Way
407,person,690,Wrong-Way
418,motorcycle,711,Wrong-Way
436,motorcycle,583,Wrong-Way
438,motorcycle,590,Wrong-Way
459,motorcycle,917,Wrong-Way
487,person,763,Wrong-Way
531,motorcycle,1117,Wrong-Way
535,motorcycle,1201,Wrong-Way
543,motorcycle,1103,Wrong-Way
643,motorcycle,955,Wrong-Way
695,motorcycle,1508,Wrong-Way
745,person,1135,Wrong-Way
762,person,1182,Wrong-Way
774,motorcycle,1189,Wrong-Way
808,motorcycle,1503,Wrong-Way
855,motorcycle,1302,Wrong-Way
856,person,1303,Wrong-Way
906,car,1411,Wrong-Way
937,car,1478,Wrong-Way
972,motorcycle,1814,Wrong-Way
1114,car,2344,Wrong-Way
1245,motorcycle,2155,Wrong-Way
1386,person,2350,Wrong-Way
1405,motorcycle,2425,Wrong-Way
1442,motorcycle,2551,Wrong-Way
1466,person,2551,Wrong-Way
1536,car,2491,Wrong-Way
1553,person,2532,Wrong-Way
